student id,experiment 1,experiment 2,experiment 3,experiment 4,experiment 5,experiment 6,experiment 7,experiment 8
1,86,87,87,88,88,88,84,88
2,96,95,94,93,96,94,95,92
3,88,94,92,87,83,89,92,80
4,92,93,93,88,84,84,86,84
5,80,76,86,87,85,81,86,86
6,0,0,0,0,0,0,0,0
7,94,89,94,94,94,92,93,92
8,96,94,0,0,0,0,0,0
9,94,96,95,92,96,94,92,92
10,93,96,95,95,94,94,94,94
